bt_date_bt_time,BMP_TEMP,HDC_TEMP,HDC_HUM,Date,Time
2019-03-28 15:00:00,17.66,17.85,58.74,28-03-2019,15:00:00:000000
2019-03-28 15:00:30,17.66,17.85,58.74,28-03-2019,15:00:30:000000
2019-03-28 15:01:00,17.665,17.855,58.64,28-03-2019,15:01:00:000000
2019-03-28 15:01:30,17.67,17.86,58.64,28-03-2019,15:01:30:000000
2019-03-28 15:02:00,17.67,17.85,58.64,28-03-2019,15:02:00:000000
2019-03-28 15:02:30,17.67,17.85,58.595,28-03-2019,15:02:30:000000
2019-03-28 15:03:00,17.67,17.86,58.55,28-03-2019,15:03:00:000000
2019-03-28 15:03:30,17.665,17.855,58.55,28-03-2019,15:03:30:000000
2019-03-28 15:04:00,17.67,17.85,58.55,28-03-2019,15:04:00:000000
2019-03-28 15:04:30,17.68,17.86,58.55,28-03-2019,15:04:30:000000
2019-03-28 15:05:00,17.67,17.86,58.5,28-03-2019,15:05:00:000000
2019-03-28 15:05:30,17.66,17.85,58.45,28-03-2019,15:05:30:000000
2019-03-28 15:06:00,17.665,17.855,58.45,28-03-2019,15:06:00:000000
2019-03-28 15:06:30,17.66,17.85,58.45,28-03-2019,15:06:30:000000
2019-03-28 15:07:00,17.66,17.85,58.45,28-03-2019,15:07:00:000000
2019-03-28 15:07:30,17.67,17.85,58.45,28-03-2019,15:07:30:000000
2019-03-28 15:08:00,17.67,17.85,58.45,28-03-2019,15:08:00:000000
2019-03-28 15:08:30,17.66,17.86,58.45,28-03-2019,15:08:30:000000
2019-03-28 15:09:00,17.655,17.85,58.45,28-03-2019,15:09:00:000000
2019-03-28 15:09:30,17.65,17.83,58.45,28-03-2019,15:09:30:000000
2019-03-28 15:10:00,17.66,17.85,58.35,28-03-2019,15:10:00:000000
2019-03-28 15:10:30,17.65,17.85,58.35,28-03-2019,15:10:30:000000
2019-03-28 15:11:00,17.65,17.85,58.35,28-03-2019,15:11:00:000000
2019-03-28 15:11:30,17.655,17.85,58.35,28-03-2019,15:11:30:000000
2019-03-28 15:12:00,17.65,17.83,58.35,28-03-2019,15:12:00:000000
2019-03-28 15:12:30,17.65,17.85,58.35,28-03-2019,15:12:30:000000
2019-03-28 15:13:00,17.66,17.83,58.305,28-03-2019,15:13:00:000000
2019-03-28 15:13:30,17.65,17.83,58.26,28-03-2019,15:13:30:000000
2019-03-28 15:14:00,17.64,17.83,58.26,28-03-2019,15:14:00:000000
2019-03-28 15:14:30,17.64,17.83,58.26,28-03-2019,15:14:30:000000
2019-03-28 15:15:00,17.65,17.83,58.26,28-03-2019,15:15:00:000000
2019-03-28 15:15:30,17.65,17.82,58.26,28-03-2019,15:15:30:000000
2019-03-28 15:16:00,17.64,17.83,58.26,28-03-2019,15:16:00:000000
2019-03-28 15:16:30,17.634999999999998,17.83,58.26,28-03-2019,15:16:30:000000
2019-03-28 15:17:00,17.64,17.83,58.26,28-03-2019,15:17:00:000000
2019-03-28 15:17:30,17.64,17.83,58.26,28-03-2019,15:17:30:000000
