bt_date_bt_time,Kitchen Sphere Gateway,Kitchen NUC Video,Hall NUC Video,Living Room NUC Video,Date,Time
2019-03-28 14:59:20,-86.8,-75.0,,-63.0,28-03-2019,14:59:20:000000
2019-03-28 15:00:00,-85.41496598639456,-74.0,,-64.62857142857143,28-03-2019,15:00:00:000000
2019-03-28 15:00:40,-85.57333333333334,-74.0,,-64.6969696969697,28-03-2019,15:00:40:000000
2019-03-28 15:01:20,-85.48251748251748,-74.25,,-64.61538461538461,28-03-2019,15:01:20:000000
2019-03-28 15:02:00,-85.47333333333333,-75.2,,-64.63636363636364,28-03-2019,15:02:00:000000
2019-03-28 15:02:40,-85.4496644295302,-73.33333333333333,,-64.97727272727273,28-03-2019,15:02:40:000000
2019-03-28 15:03:20,-85.47222222222223,-74.7,,-64.28,28-03-2019,15:03:20:000000
2019-03-28 15:04:00,-85.58904109589041,-74.88888888888889,,-64.0909090909091,28-03-2019,15:04:00:000000
2019-03-28 15:04:40,-85.62585034013605,-74.42857142857143,,-64.725,28-03-2019,15:04:40:000000
2019-03-28 15:05:20,-85.79591836734694,-75.0,,-63.94285714285714,28-03-2019,15:05:20:000000
2019-03-28 15:06:00,-85.35664335664336,-74.0,,-65.19444444444444,28-03-2019,15:06:00:000000
2019-03-28 15:06:40,-85.53472222222223,-74.6,,-64.3125,28-03-2019,15:06:40:000000
2019-03-28 15:07:20,-85.60283687943263,-75.375,,-64.21875,28-03-2019,15:07:20:000000
2019-03-28 15:08:00,-85.52597402597402,-73.75,,-64.70370370370371,28-03-2019,15:08:00:000000
2019-03-28 15:08:40,-85.38356164383562,-74.0,,-64.87878787878788,28-03-2019,15:08:40:000000
2019-03-28 15:09:20,-85.51006711409396,-73.0,,-64.35714285714286,28-03-2019,15:09:20:000000
2019-03-28 15:10:00,-85.41891891891892,-74.75,,-65.47058823529412,28-03-2019,15:10:00:000000
2019-03-28 15:10:40,-85.50694444444444,-73.5,,-64.34375,28-03-2019,15:10:40:000000
2019-03-28 15:11:20,-85.77027027027027,-76.5,,-63.833333333333336,28-03-2019,15:11:20:000000
2019-03-28 15:12:00,-85.29333333333334,-74.0,-75.0,-65.21428571428571,28-03-2019,15:12:00:000000
2019-03-28 15:12:40,-85.39583333333333,-75.0,,-64.34146341463415,28-03-2019,15:12:40:000000
2019-03-28 15:13:20,-85.3265306122449,-73.85714285714286,,-65.52173913043478,28-03-2019,15:13:20:000000
2019-03-28 15:14:00,-85.34666666666666,-75.0,,-64.75,28-03-2019,15:14:00:000000
2019-03-28 15:14:40,-85.31543624161074,-74.16666666666667,,-64.87096774193549,28-03-2019,15:14:40:000000
2019-03-28 15:15:20,-85.4421768707483,-74.14285714285714,,-64.8,28-03-2019,15:15:20:000000
2019-03-28 15:16:00,-85.45255474452554,-75.0,,-64.3157894736842,28-03-2019,15:16:00:000000
2019-03-28 15:16:40,-85.24324324324324,-75.5,-75.0,-65.3529411764706,28-03-2019,15:16:40:000000
2019-03-28 15:17:20,-85.47651006711409,-75.16666666666667,,-64.84615384615384,28-03-2019,15:17:20:000000
2019-03-28 15:18:00,-85.3076923076923,-73.5,,-64.5,28-03-2019,15:18:00:000000
2019-03-28 15:18:40,-85.52,-73.0,,-64.27586206896552,28-03-2019,15:18:40:000000
2019-03-28 15:19:20,-85.29729729729729,-73.85714285714286,,-64.875,28-03-2019,15:19:20:000000
2019-03-28 15:20:00,-85.29801324503312,-74.7,,-64.96666666666667,28-03-2019,15:20:00:000000
2019-03-28 15:20:40,-85.31788079470199,-74.6,,-65.03333333333333,28-03-2019,15:20:40:000000
2019-03-28 15:21:20,-85.54,-75.0,,-64.22727272727273,28-03-2019,15:21:20:000000
2019-03-28 15:22:00,-85.47651006711409,-73.5,,-64.875,28-03-2019,15:22:00:000000
2019-03-28 15:22:40,-85.70198675496688,-75.0,,-63.875,28-03-2019,15:22:40:000000
2019-03-28 15:23:20,-85.77551020408163,-74.83333333333333,,-64.4,28-03-2019,15:23:20:000000
2019-03-28 15:24:00,-85.45205479452055,-74.25,,-64.7,28-03-2019,15:24:00:000000
2019-03-28 15:24:40,-85.27083333333333,-74.5,,-65.0,28-03-2019,15:24:40:000000
2019-03-28 15:25:20,-85.45833333333333,-73.25,,-64.8,28-03-2019,15:25:20:000000
2019-03-28 15:26:00,-85.37671232876713,-74.0,,-64.73809523809524,28-03-2019,15:26:00:000000
2019-03-28 15:26:40,-85.24,-74.66666666666667,,-64.8,28-03-2019,15:26:40:000000
2019-03-28 15:27:20,-85.32867132867133,-74.8,,-64.36363636363636,28-03-2019,15:27:20:000000
2019-03-28 15:28:00,-85.27891156462584,-73.6,,-64.6,28-03-2019,15:28:00:000000
2019-03-28 15:28:40,-85.38255033557047,-74.7,,-64.73529411764706,28-03-2019,15:28:40:000000
2019-03-28 15:29:20,-85.34027777777777,-74.0,,-65.26666666666667,28-03-2019,15:29:20:000000
2019-03-28 15:30:00,-85.64429530201342,-74.5,,-64.58974358974359,28-03-2019,15:30:00:000000
2019-03-28 15:30:40,-85.48684210526316,-73.5,,-64.26666666666667,28-03-2019,15:30:40:000000
2019-03-28 15:31:20,-85.18493150684931,-75.25,,-65.55172413793103,28-03-2019,15:31:20:000000
2019-03-28 15:32:00,-85.38194444444444,-74.875,,-64.84848484848484,28-03-2019,15:32:00:000000
2019-03-28 15:32:40,-85.37671232876713,-74.16666666666667,,-64.09375,28-03-2019,15:32:40:000000
2019-03-28 15:33:20,-85.36363636363636,-75.0,,-64.6470588235294,28-03-2019,15:33:20:000000
2019-03-28 15:34:00,-85.52447552447552,-75.5,,-63.92307692307692,28-03-2019,15:34:00:000000
2019-03-28 15:34:40,-85.51034482758621,-75.0,,-64.46153846153847,28-03-2019,15:34:40:000000
2019-03-28 15:35:20,-85.41780821917808,-73.11111111111111,,-65.05405405405405,28-03-2019,15:35:20:000000
2019-03-28 15:36:00,-85.57046979865771,-74.33333333333333,,-64.32142857142857,28-03-2019,15:36:00:000000
2019-03-28 15:36:40,-85.17006802721089,-74.125,,-64.70370370370371,28-03-2019,15:36:40:000000
2019-03-28 15:37:20,-85.32432432432432,-74.5,,-65.38461538461539,28-03-2019,15:37:20:000000
2019-03-28 15:38:00,-85.2,-74.83333333333333,,-64.18604651162791,28-03-2019,15:38:00:000000
2019-03-28 15:38:40,-85.58904109589041,-73.8,,-65.02222222222223,28-03-2019,15:38:40:000000
2019-03-28 15:39:20,-85.28776978417267,-74.4,,-65.48148148148148,28-03-2019,15:39:20:000000
2019-03-28 15:40:00,-85.19594594594595,-74.5,,-64.57142857142857,28-03-2019,15:40:00:000000
2019-03-28 15:40:40,-85.29861111111111,-75.14285714285714,,-65.0,28-03-2019,15:40:40:000000
2019-03-28 15:41:20,-85.2937062937063,-75.0,,-65.0,28-03-2019,15:41:20:000000
2019-03-28 15:42:00,-85.41726618705036,-74.6,,-65.27777777777777,28-03-2019,15:42:00:000000
2019-03-28 15:42:40,-85.45138888888889,-75.33333333333333,,-64.58823529411765,28-03-2019,15:42:40:000000
2019-03-28 15:43:20,-85.44680851063829,-74.875,,-64.6,28-03-2019,15:43:20:000000
2019-03-28 15:44:00,-85.68055555555556,-74.0,-74.0,-64.66666666666667,28-03-2019,15:44:00:000000
2019-03-28 15:44:40,-85.50340136054422,-74.5,,-64.29729729729729,28-03-2019,15:44:40:000000
2019-03-28 15:45:20,-85.41726618705036,-73.4,,-64.95833333333333,28-03-2019,15:45:20:000000
2019-03-28 15:46:00,-85.35172413793103,-74.33333333333333,,-64.97435897435898,28-03-2019,15:46:00:000000
2019-03-28 15:46:40,-85.63157894736842,-73.42857142857143,,-65.19047619047619,28-03-2019,15:46:40:000000
2019-03-28 15:47:20,-85.48648648648648,-74.57142857142857,,-64.0909090909091,28-03-2019,15:47:20:000000
2019-03-28 15:48:00,-85.44827586206897,-75.75,,-64.44827586206897,28-03-2019,15:48:00:000000
2019-03-28 15:48:40,-85.47019867549669,-73.0,,-64.96,28-03-2019,15:48:40:000000
2019-03-28 15:49:20,-85.4375,-73.2,-75.0,-64.2,28-03-2019,15:49:20:000000
2019-03-28 15:50:00,-85.38888888888889,-73.0,,-64.95,28-03-2019,15:50:00:000000
2019-03-28 15:50:40,-85.50993377483444,-74.5,,-64.60606060606061,28-03-2019,15:50:40:000000
2019-03-28 15:51:20,-85.61486486486487,-75.2,,-65.04878048780488,28-03-2019,15:51:20:000000
2019-03-28 15:52:00,-85.20143884892086,-73.66666666666667,,-64.86111111111111,28-03-2019,15:52:00:000000
2019-03-28 15:52:40,-85.49305555555556,-75.4,,-65.32352941176471,28-03-2019,15:52:40:000000
2019-03-28 15:53:20,-85.47712418300654,-73.4,,-64.89473684210526,28-03-2019,15:53:20:000000
2019-03-28 15:54:00,-85.43150684931507,-73.88888888888889,,-64.875,28-03-2019,15:54:00:000000
2019-03-28 15:54:40,-85.33103448275862,-74.71428571428571,,-64.93333333333334,28-03-2019,15:54:40:000000
2019-03-28 15:55:20,-85.71232876712328,-74.0,,-64.15384615384616,28-03-2019,15:55:20:000000
2019-03-28 15:56:00,-85.25503355704699,-74.77777777777777,,-65.3103448275862,28-03-2019,15:56:00:000000
2019-03-28 15:56:40,-85.58450704225352,-75.25,,-63.827586206896555,28-03-2019,15:56:40:000000
2019-03-28 15:57:20,-85.70748299319727,-74.33333333333333,,-64.36585365853658,28-03-2019,15:57:20:000000
2019-03-28 15:58:00,-85.51369863013699,-74.57142857142857,,-65.08333333333333,28-03-2019,15:58:00:000000
2019-03-28 15:58:40,-85.43046357615894,-73.4,,-64.95348837209302,28-03-2019,15:58:40:000000
2019-03-28 15:59:20,-85.38513513513513,-74.0,,-64.64864864864865,28-03-2019,15:59:20:000000
2019-03-28 16:00:00,-85.58503401360544,-75.0,,-64.8,28-03-2019,16:00:00:000000
2019-03-28 16:00:40,-85.3,-73.83333333333333,,-64.82142857142857,28-03-2019,16:00:40:000000
2019-03-28 16:01:20,-85.34437086092716,-72.33333333333333,,-64.625,28-03-2019,16:01:20:000000
2019-03-28 16:02:00,-85.32867132867133,,,-65.34146341463415,28-03-2019,16:02:00:000000
2019-03-28 16:02:40,-85.46308724832215,-74.16666666666667,,-64.45454545454545,28-03-2019,16:02:40:000000
2019-03-28 16:03:20,-85.59060402684564,-73.2,,-64.97560975609755,28-03-2019,16:03:20:000000
2019-03-28 16:04:00,-85.46762589928058,-73.0,,-64.78787878787878,28-03-2019,16:04:00:000000
2019-03-28 16:04:40,-85.54166666666667,-74.66666666666667,,-64.34285714285714,28-03-2019,16:04:40:000000
2019-03-28 16:05:20,-85.60544217687075,-74.0,,-64.75,28-03-2019,16:05:20:000000
2019-03-28 16:06:00,-85.55405405405405,-74.16666666666667,-73.0,-64.3225806451613,28-03-2019,16:06:00:000000
2019-03-28 16:06:40,-85.49659863945578,-74.33333333333333,,-64.32142857142857,28-03-2019,16:06:40:000000
2019-03-28 16:07:20,-85.56164383561644,-74.5,,-64.30555555555556,28-03-2019,16:07:20:000000
2019-03-28 16:08:00,-85.56944444444444,-75.75,,-64.0,28-03-2019,16:08:00:000000
2019-03-28 16:08:40,-85.48993288590604,-74.0,,-64.84848484848484,28-03-2019,16:08:40:000000
2019-03-28 16:09:20,-85.73825503355705,-75.0,,-64.48717948717949,28-03-2019,16:09:20:000000
2019-03-28 16:10:00,-85.44827586206897,-74.55555555555556,,-65.03125,28-03-2019,16:10:00:000000
2019-03-28 16:10:40,-85.51677852348993,-74.14285714285714,,-65.21621621621621,28-03-2019,16:10:40:000000
2019-03-28 16:11:20,-85.36912751677852,-74.14285714285714,,-64.93939393939394,28-03-2019,16:11:20:000000
