bt_date_bt_time,Kitchen Sphere Gateway,Kitchen NUC Video,Hall NUC Video,Living Room NUC Video,Date,Time
2019-03-28 14:59:20,-84.5,,,,28-03-2019,14:59:20:000000
2019-03-28 15:00:00,-85.30985915492958,,,-64.94117647058823,28-03-2019,15:00:00:000000
2019-03-28 15:00:40,-85.04347826086956,,,-65.77777777777777,28-03-2019,15:00:40:000000
2019-03-28 15:01:20,-85.4,-75.5,,-64.6470588235294,28-03-2019,15:01:20:000000
2019-03-28 15:02:00,-85.46376811594203,-75.0,,-64.36363636363636,28-03-2019,15:02:00:000000
2019-03-28 15:02:40,-85.69333333333333,-75.66666666666667,,-64.0,28-03-2019,15:02:40:000000
2019-03-28 15:03:20,-85.47435897435898,-73.5,,-64.66666666666667,28-03-2019,15:03:20:000000
2019-03-28 15:04:00,-85.14492753623189,-75.5,,-65.6923076923077,28-03-2019,15:04:00:000000
2019-03-28 15:04:40,-85.56164383561644,-74.5,,-64.0909090909091,28-03-2019,15:04:40:000000
2019-03-28 15:05:20,-85.48,-75.0,,-64.83333333333333,28-03-2019,15:05:20:000000
2019-03-28 15:06:00,-85.56944444444444,-73.33333333333333,,-63.72222222222222,28-03-2019,15:06:00:000000
2019-03-28 15:06:40,-85.54794520547945,-74.33333333333333,,-64.31818181818181,28-03-2019,15:06:40:000000
2019-03-28 15:07:20,-85.41176470588235,-74.5,,-64.6875,28-03-2019,15:07:20:000000
2019-03-28 15:08:00,-85.78260869565217,-76.5,,-64.3,28-03-2019,15:08:00:000000
2019-03-28 15:08:40,-85.97222222222223,-73.0,-75.0,-64.375,28-03-2019,15:08:40:000000
2019-03-28 15:09:20,-85.71232876712328,,,-64.0,28-03-2019,15:09:20:000000
2019-03-28 15:10:00,-85.3972602739726,-73.16666666666667,,-64.55555555555556,28-03-2019,15:10:00:000000
2019-03-28 15:10:40,-85.56338028169014,-73.0,,-65.72222222222223,28-03-2019,15:10:40:000000
2019-03-28 15:11:20,-85.43055555555556,,,-64.6,28-03-2019,15:11:20:000000
2019-03-28 15:12:00,-85.47297297297297,-73.0,,-65.05882352941177,28-03-2019,15:12:00:000000
2019-03-28 15:12:40,-85.86301369863014,-73.75,,-63.8421052631579,28-03-2019,15:12:40:000000
2019-03-28 15:13:20,-85.24,-73.0,,-65.05555555555556,28-03-2019,15:13:20:000000
2019-03-28 15:14:00,-85.5,-73.0,,-65.08333333333333,28-03-2019,15:14:00:000000
2019-03-28 15:14:40,-85.47222222222223,-74.0,,-64.38461538461539,28-03-2019,15:14:40:000000
2019-03-28 15:15:20,-85.30434782608695,-77.0,,-65.31818181818181,28-03-2019,15:15:20:000000
2019-03-28 15:16:00,-85.24285714285715,-74.2,,-64.95833333333333,28-03-2019,15:16:00:000000
2019-03-28 15:16:40,-85.3970588235294,-74.0,,-65.78571428571429,28-03-2019,15:16:40:000000
2019-03-28 15:17:20,-85.76470588235294,-75.0,,-64.44444444444444,28-03-2019,15:17:20:000000
2019-03-28 15:18:00,-85.45070422535211,-75.0,,-63.75,28-03-2019,15:18:00:000000
2019-03-28 15:18:40,-85.3972602739726,-74.75,,-65.28571428571429,28-03-2019,15:18:40:000000
2019-03-28 15:19:20,-85.76119402985074,-74.14285714285714,,-64.5909090909091,28-03-2019,15:19:20:000000
2019-03-28 15:20:00,-85.52112676056338,-76.4,,-64.8,28-03-2019,15:20:00:000000
2019-03-28 15:20:40,-85.6842105263158,-75.0,,-63.8421052631579,28-03-2019,15:20:40:000000
2019-03-28 15:21:20,-85.59154929577464,-74.0,,-65.125,28-03-2019,15:21:20:000000
2019-03-28 15:22:00,-85.04918032786885,-73.0,,-64.3,28-03-2019,15:22:00:000000
2019-03-28 15:22:40,-85.68115942028986,,,-64.94117647058823,28-03-2019,15:22:40:000000
2019-03-28 15:23:20,-85.25,-75.0,,-64.0,28-03-2019,15:23:20:000000
2019-03-28 15:24:00,-85.35135135135135,-74.0,,-65.36842105263158,28-03-2019,15:24:00:000000
2019-03-28 15:24:40,-85.95652173913044,-73.0,,-63.8235294117647,28-03-2019,15:24:40:000000
2019-03-28 15:25:20,-85.21794871794872,-73.0,,-65.52173913043478,28-03-2019,15:25:20:000000
2019-03-28 15:26:00,-85.3972602739726,-74.0,,-64.07142857142857,28-03-2019,15:26:00:000000
2019-03-28 15:26:40,-85.77333333333333,-76.0,,-64.70370370370371,28-03-2019,15:26:40:000000
2019-03-28 15:27:20,-85.79729729729729,-74.33333333333333,,-64.28571428571429,28-03-2019,15:27:20:000000
2019-03-28 15:28:00,-85.36486486486487,-75.625,,-64.73684210526316,28-03-2019,15:28:00:000000
2019-03-28 15:28:40,-85.38356164383562,-74.66666666666667,,-64.95454545454545,28-03-2019,15:28:40:000000
2019-03-28 15:29:20,-85.70270270270271,-75.33333333333333,,-63.94117647058823,28-03-2019,15:29:20:000000
2019-03-28 15:30:00,-85.31944444444444,-73.5,,-64.625,28-03-2019,15:30:00:000000
2019-03-28 15:30:40,-85.6,-72.5,,-64.95652173913044,28-03-2019,15:30:40:000000
